1648734230.735023, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 100}
1648734231.32433, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648734233.580889, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648734233.581249, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648734233}
1648734233.761987, sdrt-health/mac:02010b41cdec/antenna/version, 
1648734234.273578, sdrt-health/mac:02010b41cdec/antenna/power, 9.9
1648734236.345164, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648734293.593401, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648734293.593922, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648734293}
1648734293.762562, sdrt-health/mac:02010b41cdec/antenna/version, 
1648734294.283495, sdrt-health/mac:02010b41cdec/antenna/power, 
1648734296.951523, sdrt-health/mac:02010b41cdec/antenna/tag/scan, scan stopped
