1648670352.216013, sdrt-health/mac:02010b41cdec/state, online
1648670361.826014, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670361.850819, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670362.026486, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670362.026806, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.057832, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670362.1222, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.122398, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.135088, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670362.135278, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670362.144928, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.189908, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670362.249129, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670362.249324, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670362.262203, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670362.492346, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670362.934352, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670363.079595, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670363.120126, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670363.175163, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670363.241235, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648670363.241431, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670363.25497, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670363.255208, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670363.281473, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670363.307696, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670363.307925, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648670363.707764, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670363.752711, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670363.778642, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670363.77881, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670363.799246, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670364.032197, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670364.374881, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670364.428856, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670364.604803, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670364.639356, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648670364.692734, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670364.719299, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670364.719532, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670364.733367, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670364.768756, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670364.825865, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670364.826057, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670364.839102, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670364.839306, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670364.852944, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670365.693275, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670365.733938, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670365.760069, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670365.760266, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670365.760395, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670365.76052, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670365.912742, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670365.966096, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670365.998934, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670365.999109, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670366.018254, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670366.018437, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670366.049672, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.097365, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.123559, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648670366.123808, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.140284, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.140532, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.704892, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670366.755152, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.782057, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.782242, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.803716, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670366.953615, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670366.953964, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670366.974654, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.01576, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.067199, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670367.067386, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.067498, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.210744, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.265688, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670367.344191, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670367.344384, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.357232, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.383438, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670367.383685, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.40854, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670367.436044, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670367.436412, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670367.449008, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670367.449193, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670367.870018, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670367.912165, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670367.938562, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670367.938798, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670367.967851, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670368.133285, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670368.133473, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
