1648737647.625434, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 140}
1648737648.216807, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648737653.237577, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648737653.590242, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648737653.590702, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648737653}
1648737653.792337, sdrt-health/mac:02010b41cdec/antenna/version, 
1648737654.301688, sdrt-health/mac:02010b41cdec/antenna/power, 
1648737713.634192, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648737713.63469, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648737713}
1648737713.793032, sdrt-health/mac:02010b41cdec/antenna/version, 
1648737713.833541, sdrt-health/mac:02010b41cdec/antenna/tag/scan, scan stopped
