1648741249.272391, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 260}
1648741249.891308, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648741253.652655, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648741253.653154, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648741253}
1648741253.833383, sdrt-health/mac:02010b41cdec/antenna/version, J.6.6/V0121-04
1648741254.362157, sdrt-health/mac:02010b41cdec/antenna/power, 416
1648741254.913987, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648741313.650683, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648741313.651191, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648741313}
1648741313.832392, sdrt-health/mac:02010b41cdec/antenna/version, 
1648741314.350281, sdrt-health/mac:02010b41cdec/antenna/power, 
1648741315.498126, sdrt-health/mac:02010b41cdec/antenna/tag/scan, scan stopped
