RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,RSSI_Antenna_5,AssetPoint_Longitude,AssetPoint_Latitude
-67.5789343206958,-170,-78.44090716881735,-84.78253017422057,-50.856301954810284,-8.50126952,40.89714679
-67.4248258367973,-170,-78.71396138357879,-84.75035440538126,-50.86836607522091,-8.50126952,40.89714679
-67.30933671630142,-170,-80.59449221357515,-86.92666338838178,-51.306428899296904,-8.5012655,40.89714932
-67.33142194230982,-170,-80.65004323870973,-86.92940406453096,-51.29271136743196,-8.5012655,40.89714932
-67.13842693267037,-170,-80.65268928556831,-86.90554099365265,-51.14828620502499,-8.5012655,40.89714932
-66.93529364179204,-170,-79.65077600726853,-86.99195479102163,-51.271549742299314,-8.50126449,40.8971511
-67.22309420069425,-170,-79.65951371317341,-86.80056709324174,-51.399628044634014,-8.50126449,40.8971511
-67.13941620953989,-170,-79.57756210950254,-86.92602390236482,-51.3619452636043,-8.50126449,40.8971511
-67.03989545188844,-170,-82.54718667399894,-87.02349239712507,-51.73024324666063,-8.50126147,40.89715287
-67.03197435616568,-170,-82.54933543858422,-87.03075452224496,-51.70152173907575,-8.50126147,40.89715287
-67.02938836511876,-170,-82.53812482772797,-87.03726148298932,-51.71677413807988,-8.50126147,40.89715287
-67.0353958590236,-170,-82.58660534202568,-87.03778476415522,-51.6600244078907,-8.50126147,40.89715287
-66.75984732979241,-170,-82.51552610512647,-89.0398029656013,-51.94994127144618,-8.50125913,40.8971549
-66.86688147088341,-170,-82.59923185111887,-89.08864250032603,-51.99510500717295,-8.50125913,40.8971549
-66.84828121096216,-170,-82.59961946484826,-89.08000951109534,-51.970278992175864,-8.50125913,40.8971549
-66.79789922011412,-170,-82.50504107489492,-89.07409387615549,-51.86797122414444,-8.50125913,40.8971549
-66.5094834773739,-170,-77.51301388312959,-88.17273807522298,-52.320669202822785,-8.50125611,40.89715769
-66.630403562401,-170,-78.52570423193615,-88.13294425022907,-51.963049219750765,-8.50125611,40.89715769
-66.44993380032103,-170,-82.35389670144993,-90.21670066958465,-52.38349613628395,-8.50125343,40.89715946
-66.43911345997688,-170,-82.52086234940023,-90.2043162592492,-52.42280586401187,-8.50125343,40.89715946
-66.42445974315868,-170,-82.53243769132507,-90.21777640840031,-52.55737830594024,-8.50125343,40.89715946
-66.44974670788302,-170,-82.3864422565386,-90.16158498193253,-52.6153271075673,-8.50125343,40.89715946
-66.35682225940144,-170,-82.45640934748545,-90.06127944140412,-52.93855575300801,-8.50125041,40.8971587
