1648656539.414167, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 200}
1648656540.010225, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648656545.031039, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648656552.138991, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656557.574553, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656562.549897, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656567.911225, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656575.260639, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656582.197697, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656585.412917, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648656585.41351, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648656585}
1648656585.585676, sdrt-health/mac:02010b41cdec/antenna/version, 
1648656586.105687, sdrt-health/mac:02010b41cdec/antenna/power, 
1648656586.995565, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656592.313407, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656597.978144, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656603.091979, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656605.603883, sdrt-health/mac:02010b41cdec/antenna/tag/scan, scan stopped
