1648651844.750739, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 230}
1648651845.329396, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648651845.329629, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648651845}
1648651845.370932, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648651845.513943, sdrt-health/mac:02010b41cdec/antenna/version, 
1648651850.389684, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648651850.794678, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651850.859283, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651850.898838, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 86
1648651850.942084, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 86
1648651850.968146, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651850.968498, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 86
1648651850.98175, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.019173, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.062253, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.089157, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.089563, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.129425, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.170837, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.222833, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.223175, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.236081, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.251051, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.291955, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.319872, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.32022, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.333901, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.367184, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.42644, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.483398, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.48387, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.498012, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.498383, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.498697, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.508397, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.550187, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.606834, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.607278, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.620281, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.646843, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.647075, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.673938, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.716131, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.744743, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.745056, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.758053, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.793376, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.852051, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.852524, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.866123, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.86659, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648651851.885608, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.938294, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.965325, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651851.965545, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651851.984588, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651852.012454, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651852.012664, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651852.026298, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651852.057772, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
