1648650321.838021, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 250}
1648650322.40331, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648650327.425494, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648650327.819251, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650327.855713, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650327.895959, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650327.896258, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650327.944125, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650328.003704, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650328.004132, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650328.004449, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 77
1648650328.029497, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.081981, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.082826, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.094991, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.128329, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.128602, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.165639, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.227034, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.227237, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.239061, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.239238, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.256461, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.296926, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.323925, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.324276, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.337506, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.337735, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.378159, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.416039, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.468738, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.469251, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.482672, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.505178, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.562225, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.562741, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.575381, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.584444, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.592921, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.623934, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.677844, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.678208, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.705186, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.757934, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.758377, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648650328.771326, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.804073, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.847855, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.931376, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.931545, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.968698, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648650328.969048, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
