1648653302.418714, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 220}
1648653303.035173, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648653308.055078, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648653308.466488, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.523424, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648653308.566512, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648653308.593386, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648653308.593577, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648653308.593733, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.613314, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648653308.6768, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.677101, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.693445, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.714368, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.782549, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.782738, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.796188, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.815493, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.876727, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.876946, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.889194, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 86
1648653308.889383, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 86
1648653308.913835, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 86
1648653308.984671, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.984958, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.996902, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653308.997079, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653309.014222, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653309.066142, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653309.131877, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648653309.158898, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
