1648663446.530461, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 290}
1648663447.119161, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648663452.139509, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648663452.576301, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663452.615769, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663452.776178, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663452.827095, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663452.889311, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663452.889759, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663452.903893, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663452.904119, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663452.925052, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663452.990594, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663452.991109, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663453.004689, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.004898, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663453.025741, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663453.076048, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663453.104354, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.104632, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.118954, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.119153, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.119286, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.166337, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.215629, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663453.245774, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.24607, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663453.258918, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663453.259109, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.306442, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.356608, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.386663, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.387005, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.38727, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.405381, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663453.456901, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.520595, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.52103, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663453.535404, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.535616, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.556636, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663453.82667, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663453.876713, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663453.905806, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663453.906057, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663453.926253, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663453.990844, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663453.991261, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663454.005197, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663454.026108, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663454.055169, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663454.055503, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663454.055744, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
