AP1_280_Antenna1,AP1_290_Antenna1,AP1_300_Antenna1,AP1_280_Antenna2,AP1_290_Antenna2,AP1_300_Antenna2,AP1_280_Antenna3,AP1_290_Antenna3,AP1_300_Antenna3,AP1_280_Antenna4,AP1_290_Antenna4,AP1_300_Antenna4,AP1_280_Antenna5,AP1_290_Antenna5,AP1_300_Antenna5,Anchor1_280_Antenna1,Anchor1_290_Antenna1,Anchor1_300_Antenna1,Anchor1_280_Antenna2,Anchor1_290_Antenna2,Anchor1_300_Antenna2,Anchor1_280_Antenna3,Anchor1_290_Antenna3,Anchor1_300_Antenna3,Anchor1_280_Antenna4,Anchor1_290_Antenna4,Anchor1_300_Antenna4,Anchor1_280_Antenna5,Anchor1_290_Antenna5,Anchor1_300_Antenna5,Anchor2_280_Antenna1,Anchor2_290_Antenna1,Anchor2_300_Antenna1,Anchor2_280_Antenna2,Anchor2_290_Antenna2,Anchor2_300_Antenna2,Anchor2_280_Antenna3,Anchor2_290_Antenna3,Anchor2_300_Antenna3,Anchor2_280_Antenna4,Anchor2_290_Antenna4,Anchor2_300_Antenna4,Anchor2_280_Antenna5,Anchor2_290_Antenna5,Anchor2_300_Antenna5,Anchor3_280_Antenna1,Anchor3_290_Antenna1,Anchor3_300_Antenna1,Anchor3_280_Antenna2,Anchor3_290_Antenna2,Anchor3_300_Antenna2,Anchor3_280_Antenna3,Anchor3_290_Antenna3,Anchor3_300_Antenna3,Anchor3_280_Antenna4,Anchor3_290_Antenna4,Anchor3_300_Antenna4,Anchor3_280_Antenna5,Anchor3_290_Antenna5,Anchor3_300_Antenna5,Anchor4_280_Antenna1,Anchor4_290_Antenna1,Anchor4_300_Antenna1,Anchor4_280_Antenna2,Anchor4_290_Antenna2,Anchor4_300_Antenna2,Anchor4_280_Antenna3,Anchor4_290_Antenna3,Anchor4_300_Antenna3,Anchor4_280_Antenna4,Anchor4_290_Antenna4,Anchor4_300_Antenna4,Anchor4_280_Antenna5,Anchor4_290_Antenna5,Anchor4_300_Antenna5,AP1_distance_Antenna1,AP1_distance_Antenna2,AP1_distance_Antenna3,AP1_distance_Antenna4,AP1_distance_Antenna5,AP1_Longitude,AP1_Latitude
0,0,0,0,0,0,0,0,0,139.4961,112.3298,108.8079,2.4233,0,1.4916,0,0,0,0,0,0,0,0,0,3.0453,40.7331,54.2454,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,5.9096,0,19.6064,2.2808,16.4017,26.198,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.7947,4.0393,53.207,60.3213,0,0,0,0,0,0,0,0,0,2.1737,0,2.0323,127.8475,119.7661,92.8324,31.28,21.78,20.78,0.99,9.55,-8.50097146,40.89703503
0,0,0,0,0,0,0,0,0,143.702,98.2403,117.7134,1.0978,0,0.5868,0,0,0,0,0,0,0,0,0,1.6288,42.5171,57.684,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,1.693,7.4318,16.4172,3.327,19.3609,25.8635,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9918,13.5106,52.6838,78.7116,0,0,0,0,0,0,0,0,0,1.4054,0,0.1721,147.1595,116.7703,108.7136,31.16,21.78,20.77,1.19,9.35,-8.50097347,40.89703401
0,0,0,0,0,0,0,0,0,136.5498,161.4078,87.6567,1.2103,0,2.2194,0,0,0,0,0,0,0,0,0,2.6129,42.6517,54.3345,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.2423,5.499,8.249,0,17.474,35.2618,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.91,0,45.1094,64.4803,0,0,0,0,0,0,0,0,0,0.4621,2.1916,1.736,141.978,110.7568,78.0651,31.02,21.76,20.73,1.38,9.16,-8.50097548,40.89703325
0,0,0,0,0,0,0,0,0,136.1779,126.1114,108.5792,0.2951,1.1741,3.1701,0,0,0,0,0,0,0,0,0,2.1305,41.4783,54.6802,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,4.4175,1.8761,14.7781,0.8991,16.0403,29.8796,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9699,9.7804,47.3293,57.3217,0,0,0,0,0,0,0,0,0,1.1375,0,1.2628,136.456,110.5565,111.1029,30.86,21.73,20.68,1.59,8.95,-8.50097783,40.89703249
0,0,0,0,0,0,0,0,0,127.6159,126.7218,92.4491,0,0.7826,1.9828,0,0,0,0,0,0,0,0,0,0.3495,41.2154,56.8526,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,4.879,3.0618,13.1168,0.228,20.673,28.9368,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.7373,5.0678,41.4543,67.4229,0,0,0,0,0,0,0,0,0,1.9613,0,0.9231,147.0862,111.9853,102.4915,30.73,21.72,20.65,1.78,8.76,-8.50097984,40.89703173
0,0,0,0,0,0,0,0,0,137.8585,113.9076,81.2058,1.2376,0.6574,3.2729,0,0,0,0,0,0,0,0,0,1.7187,42.0948,50.5815,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.3908,5.8061,10.0124,3.4273,18.4272,29.0508,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.5795,4.9327,44.3292,43.6585,0,0,0,0,0,0,0,0,0,2.3705,0.3982,2.3275,141.737,112.3997,99.738,30.57,21.73,20.64,2.05,8.49,-8.50098252,40.89703046
0,0,0,0,0,0,0,0,0,139.3212,111.7929,88.1889,1.2376,0.6837,1.1572,0,0,0,0,0,0,0,0,0,3.0001,41.5538,53.3874,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,1.8252,5.5441,3.0381,0.1829,16.7683,25.388,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.4422,3.6056,58.8362,55.7442,0,0,0,0,0,0,0,0,0,0,1.6639,0.6157,144.4968,124.992,110.6058,30.39,21.65,20.55,2.24,8.3,-8.50098487,40.89703021
0,0,0,0,0,0,0,0,0,125.3286,109.4686,92.9837,1.2376,0.7165,1.1507,0,0,0,0,0,0,0,0,0,0.458,44.1305,53.7149,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.025,5.016,15.7924,1.932,13.7893,35.0974,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9561,0.2335,57.0406,67.3419,0,0,0,0,0,0,0,0,0,1.575,0.4814,1.4023,135.1464,111.9534,110.9248,30.26,21.64,20.52,2.43,8.12,-8.50098688,40.89702945
0,0,0,0,0,0,0,0,0,106.4029,91.0849,95.7333,0.6236,0.5055,2.2085,0,0,0,0,0,0,0,0,0,3.967,41.9155,55.876,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,7.0939,3.1868,7.3566,4.5995,17.9591,38.4396,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.6512,1.3239,48.7162,69.9712,0,0,0,0,0,0,0,0,0,0.541,0,1.128,140.4509,121.3636,93.846,30.16,21.65,20.52,2.59,7.95,-8.50098856,40.89702869
0,0,0,0,0,0,0,0,0,82.2501,87.307,86.9539,1.7184,1.0348,1.0379,0,0,0,0,0,0,0,0,0,1.3637,41.0074,59.4617,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.2434,4.9177,9.9287,0,17.9122,32.5841,0,0,0,0,0,0,0,0,0,1.2376,1.302,4.2476,0,55.909,48.5982,0,0,0,0,0,0,0,0,0,0.9537,0,1.7268,133.8771,141.6725,105.4617,29.98,21.64,20.49,2.84,7.7,-8.50099124,40.89702768
0,0,0,0,0,0,0,0,0,54.3209,81.687,78.3916,1.3997,0.868,2.8501,0,0,0,0,0,0,0,0,0,2.8525,39.5899,55.243,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.0131,7.9249,11.2708,2.2869,20.0359,34.3411,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.887,0,32.4977,52.4566,0,0,0,0,0,0,0,0,0,1.3093,0,1.1046,129.3697,122.187,103.1418,29.84,21.59,20.42,3.01,7.54,-8.50099325,40.89702742
0,0,0,0,0,0,0,0,0,42.9699,87.0933,70.7005,1.2376,0.9986,2.8498,0,0,0,0,0,0,0,0,0,2.5969,40.975,53.0943,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,3.7502,2.5628,15.354,4.5105,17.9779,35.9491,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.7248,3.0568,49.1266,53.816,0,0,0,0,0,0,0,0,0,2.033,0.9287,0.5665,128.6307,113.2242,94.0852,29.78,21.66,20.48,3.17,7.37,-8.50099459,40.89702616
0,0,0,0,0,0,0,0,0,26.0955,75.9721,73.8993,1.2376,1.118,3.0444,0,0,0,0,0,0,0,0,0,1.4372,42.0287,52.8797,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0.3063,5.7213,11.9412,0,18.2332,32.1881,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.9127,1.2355,48.8814,47.9968,0,0,0,0,0,0,0,0,0,1.8907,1.444,0.9668,141.6065,110.6784,116.1558,29.64,21.64,20.44,3.35,7.2,-8.5009966,40.89702565
0,0,0,0,0,0,0,0,0,28.7599,72.82,82.4757,1.2376,1.3127,3.7594,0,0,0,0,0,0,0,0,0,2.3935,40.1019,58.3984,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,0,7.4536,12.8229,3.3749,17.1128,26.1619,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.5899,0,50.6258,54.4343,0,0,0,0,0,0,0,0,0,1.4598,1.901,0.6853,118.5533,107.265,91.4241,29.53,21.66,20.45,3.55,6.99,-8.50099862,40.89702464
0,0,0,0,0,0,0,0,0,7.6663,45.9285,80.3163,1.2376,1.5622,4.4979,0,0,0,0,0,0,0,0,0,2.0512,41.9909,55.1285,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,2.5498,3.8092,9.3034,1.1995,17.6932,31.4761,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.6275,3.3821,34.6066,74.6074,0,0,0,0,0,0,0,0,0,1.4926,2.2255,1.0211,125.2211,106.4525,103.179,29.41,21.69,20.46,3.75,6.79,-8.50100063,40.89702362
0,0,0,0,0,0,0,0,0,19.0785,49.4863,70.1823,1.2376,1.8391,5.2699,0,0,0,0,0,0,0,0,0,1.5774,43.2417,55.4068,1.2376,1.5767,4.5393,0,0,0,0,0,0,0,0,0,4.3721,7.2621,5.2193,1.5146,17.795,33.5958,0,0,0,0,0,0,0,0,0,1.2376,1.302,3.8668,0,51.6084,71.5177,0,0,0,0,0,0,0,0,0,1.6008,0,0.4943,143.9627,99.6813,104.4354,29.32,21.73,20.49,3.92,6.62,-8.5010023,40.89702261
