RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-72.48,-72.07,-64.48,-37.56,-8.65993642,40.63395989
-72.42,-71.98,-64.37,-38.46,-8.65993536,40.63396366
-72.63,-70.03,-66.26,-37.84,-8.65992723,40.63396164
-72.37,-71.85,-64.19,-39.54,-8.6599318,40.63396877
-72.26,-71.87,-64.33,-39.54,-8.65993817,40.6339681
-72.24,-69.93,-64.47,-39.1,-8.65994176,40.63396553
-72.23,-69.0,-64.6,-38.73,-8.65994536,40.63396295
-72.06,-68.83,-64.46,-40.16,-8.6599457,40.63396979
-72.04,-67.92,-64.64,-39.75,-8.65995079,40.63396637
-72.12,-68.0,-64.69,-39.08,-8.6599504,40.63396317
-72.27,-68.11,-64.76,-37.91,-8.65994864,40.63395835
-72.15,-70.11,-64.88,-38.46,-8.65995489,40.63395848
-72.37,-68.2,-64.84,-37.03,-8.65994842,40.63395472
-72.38,-69.11,-64.65,-37.56,-8.65994326,40.63395849
-72.54,-72.17,-66.6,-36.6,-8.65993786,40.63395599
-72.58,-70.28,-66.77,-35.58,-8.65994139,40.6339516
-72.65,-69.41,-68.95,-34.19,-8.65994429,40.6339461
-72.57,-68.47,-67.13,-170,-8.65995153,40.63394383
-72.45,-68.3,-64.94,-36.08,-8.65994924,40.63395066
-72.32,-70.33,-65.11,-170,-8.65995713,40.63394966
-72.21,-70.24,-65.04,-170,-8.65995778,40.63395364
-71.87,-72.15,-67.2,-170,-8.65996988,40.63395764
-71.97,-71.09,-64.99,-170,-8.65996183,40.63395986
-71.94,-69.94,-66.76,-39.96,-8.65995631,40.63396555
-71.76,-72.04,-67.11,-170,-8.65996986,40.63396187
-71.76,-71.92,-66.9,-40.71,-8.65996411,40.63396647
-71.92,-69.87,-66.66,-40.3,-8.65995406,40.63396826
-71.92,-69.87,-66.66,-40.3,-8.65995406,40.63396826
-71.92,-67.74,-66.43,-40.92,-8.65994824,40.63397322
-71.78,-67.64,-66.4,-41.72,-8.65995045,40.63397736
-71.73,-69.81,-66.74,-41.15,-8.65996019,40.63397087
-70.55,-70.74,-67.79,-42.9,-8.65996528,40.63397358
-70.49,-70.64,-65.66,-43.4,-8.65996321,40.63397778
-70.42,-70.73,-65.87,-43.36,-8.65997018,40.63397455
