Antenna1_280,Antenna1_290,Antenna1_300,Antenna2_280,Antenna2_290,Antenna2_300,Antenna3_280,Antenna3_290,Antenna3_300,Antenna4_280,Antenna4_290,Antenna4_300,Antenna5_280,Antenna5_290,Antenna5_300,AssetPoint_Longitude,AssetPoint_Latitude
122.75496605234514,116.60633554398953,130.5465688764835,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
121.81228436714133,101.02763724826485,109.88771107816072,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
130.79487597920047,98.84057710483313,90.29624098109036,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
129.04906475777847,108.85585213648912,114.04934878233932,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
133.0766599678871,107.21189023762555,106.77733226797216,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
134.60102805856195,108.77583151074526,88.38808026019757,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
122.89977841692273,108.02485264158132,105.01167528413582,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
141.14974882195585,111.82531703574095,94.62613131022965,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
129.2714998048665,103.10400463398437,96.65008376940585,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
125.94644859837778,121.92507453549618,85.85168354038655,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
132.06534653476015,108.1751998026507,84.05711852945635,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
122.08592970216988,129.8694311459002,98.39816118232187,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
133.53026872370273,111.52473491676076,103.02761197974166,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
138.1478173245508,105.99557794844931,85.41688272818585,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
139.5461064780677,103.39264441737163,105.02555519384268,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
146.31532490987465,105.43569861182664,115.73582913514039,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
143.77223033636417,124.36686674985553,109.45117014085407,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
129.76926626725478,118.1326224287472,103.4999366486598,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
140.75618143353105,119.79284786267857,88.53140321820165,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
125.07437211133019,107.42887058598629,103.01474819363102,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
124.66173852691122,118.61937627200612,91.9342498032468,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
131.6185609216334,117.00791909253206,112.39217956968355,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
130.253719593853,123.51263356333286,96.832997404698,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
135.69532105921118,122.50405226178334,107.3403773239064,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
124.5031338228054,115.07260633968974,102.45482922823012,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
124.97510366298839,115.0237876838854,103.9618613365278,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
123.48822923469965,115.98787998819938,122.66390523056654,0,0,0,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,0.8133,0.9474,5.4154,-8.50109924,40.89723585
