RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,AssetPoint_Longitude,AssetPoint_Latitude
-66.45,-66.67,-62.73,-53.04,-8.65997516,40.63404775
-66.75,-66.82,-62.65,-52.54,-8.65996912,40.63404266
-67.17,-66.97,-62.47,-49.93,-8.65995906,40.63403707
-69.56,-67.19,-60.38,-49.17,-8.65995102,40.63402969
-69.95,-67.36,-62.23,-50.5,-8.65994096,40.63402384
-70.24,-67.42,-62.03,-50.22,-8.65993157,40.63402155
-68.44,-65.37,-61.75,-50.39,-8.65992252,40.63402333
-66.53,-65.21,-61.42,-50.98,-8.65991481,40.63402893
-68.67,-67.05,-61.02,-47.61,-8.65990542,40.63403503
-66.82,-66.92,-60.66,-48.1,-8.6598967,40.63403961
-66.93,-66.79,-60.31,-50.62,-8.65988933,40.6340447
-67.01,-66.57,-59.9,-51.31,-8.65988195,40.63405233
-65.09,-66.39,-57.55,-52.84,-8.65987591,40.63405844
-65.25,-66.25,-57.11,-56.35,-8.6598672,40.63406404
-65.4,-66.06,-56.61,-56.95,-8.65985848,40.63407116
-67.51,-65.84,-56.14,-57.52,-8.6598511,40.63407879
-67.51,-65.84,-56.14,-57.52,-8.6598511,40.63407879
-67.69,-69.66,-55.57,-58.08,-8.65984172,40.63408592
-65.83,-67.52,-55.11,-58.5,-8.65983434,40.63409152
-68.09,-67.37,-54.37,-57.06,-8.65982227,40.63409864
-68.27,-67.16,-51.68,-59.62,-8.65981288,40.63410729
-68.44,-62.92,-50.99,-60.16,-8.65980417,40.63411645
-70.64,-62.76,-50.27,-60.63,-8.65979478,40.63412408
-72.81,-60.67,-49.65,-60.96,-8.65978673,40.63412917
-74.98,-58.56,-49.0,-61.33,-8.65977868,40.63413528
-73.2,-60.49,-48.16,-61.71,-8.65976863,40.63414139
-73.36,-62.38,-47.51,-61.03,-8.65976125,40.63414749
-73.33,-64.09,-45.61,-62.3,-8.65976259,40.63415563
-73.12,-61.67,-46.41,-62.44,-8.65977198,40.63416327
-71.95,-61.41,-47.0,-62.49,-8.65977935,40.63416734
-68.66,-58.99,-47.96,-64.54,-8.6597921,40.63417294
-66.53,-58.67,-48.43,-66.67,-8.65979813,40.63417853
-68.41,-56.33,-48.87,-66.84,-8.65980349,40.63418464
-68.26,-56.11,-49.3,-68.87,-8.6598102,40.63418718
-68.09,-55.62,-49.91,-69.08,-8.65981825,40.63419533
-65.91,-55.22,-50.44,-67.22,-8.65982629,40.63420092
-63.68,-54.78,-53.05,-65.35,-8.65983635,40.63420652
-63.49,-54.4,-53.54,-63.45,-8.65984507,40.6342111
-64.38,-54.04,-53.88,-65.6,-8.65985043,40.63421619
-63.2,-53.52,-56.39,-65.78,-8.65985915,40.63422281
-61.05,-53.13,-56.77,-63.9,-8.65986653,40.63422739
-60.94,-52.76,-59.08,-64.04,-8.65987189,40.63423196
-60.82,-52.32,-59.43,-67.18,-8.6598786,40.63423705
-60.62,-51.79,-59.87,-68.34,-8.65988798,40.63424265
-60.53,-51.39,-60.15,-70.48,-8.65989335,40.63424723
-62.38,-50.68,-60.61,-67.7,-8.65990274,40.63425486
-68.21,-50.07,-63.02,-66.88,-8.65991212,40.63426097
-66.1,-49.42,-63.39,-67.08,-8.65992017,40.63426759
-68.03,-48.85,-63.68,-67.24,-8.65992621,40.63427318
-67.99,-48.16,-62.97,-67.44,-8.65993224,40.6342798
-65.96,-47.56,-64.23,-69.6,-8.65993761,40.6342854
-63.79,-45.26,-64.51,-69.69,-8.65994632,40.63428845
-61.66,-44.98,-64.75,-71.79,-8.6599537,40.6342915
-63.38,-45.25,-64.96,-71.77,-8.65996309,40.63429049
-63.02,-45.71,-65.2,-73.73,-8.65997449,40.63428845
-62.67,-46.34,-65.35,-73.64,-8.6599832,40.63428438
