1648660421.263513, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 250}
1648660421.837886, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648660425.461974, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648660425.462494, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648660425}
1648660425.641285, sdrt-health/mac:02010b41cdec/antenna/version, J.6.6/V0121-04
1648660426.15942, sdrt-health/mac:02010b41cdec/antenna/power, 24.9
1648660426.860629, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648660428.202617, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660428.244424, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660428.313494, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648660428.31388, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660428.314188, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660431.583375, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648660431.630904, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660431.658405, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660431.65883, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660431.659138, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660431.659438, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660432.083381, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660432.126775, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660432.154251, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648660432.154641, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660432.166847, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660432.167127, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660434.692871, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660434.74441, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660434.771927, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648660434.772431, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660438.070869, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660438.113011, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660438.141577, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660438.142038, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660438.142437, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648660438.57718, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660438.618419, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660438.670946, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660438.671379, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660438.684476, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648660441.190874, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660441.241076, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648660441.267831, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660441.26843, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648660441.268748, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648660444.562055, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648660444.610271, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
