1648661613.45496, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 280}
1648661623.66711, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661623.679189, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661623.693365, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661623.999404, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661624.038552, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661624.092096, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661624.092619, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661624.105559, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661624.373046, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661624.414176, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661624.46885, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661624.469108, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661624.482241, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661624.494159, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.27928, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648661625.317863, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648661625.360777, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648661625.388884, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.38907, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661625.433438, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.477754, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.537805, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.537998, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648661625.538139, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648661625}
1648661625.538243, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648661625.557489, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661625.59726, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661625.656173, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661625.656447, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.66909, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661625.677716, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.718954, sdrt-health/mac:02010b41cdec/antenna/version, h@bO
1648661625.719196, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.759564, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661625.993183, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661626.212998, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661626.255605, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661626.305119, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661626.305342, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661626.318017, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661626.583298, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661626.622852, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661626.67101, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661626.671193, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661626.684954, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661626.693701, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661626.840184, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661626.880231, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661626.921135, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661626.92175, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661626.934228, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648661626.958418, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661628.306422, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661628.347933, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661628.413498, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661628.413706, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661628.413836, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661628.938513, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661628.992118, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661629.016601, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661629.016778, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661629.029875, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661629.188478, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661629.227852, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661629.281095, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661629.281266, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661629.294053, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661629.307606, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661629.442642, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661629.487876, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661629.544188, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661629.544492, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661629.557382, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661629.56903, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661629.611607, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
