1648666738.391088, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 190}
1648666738.973012, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648666743.993964, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648666752.790386, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648666759.280935, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648666765.78901, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648666772.359278, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648666778.536819, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648666785.272686, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648666791.580452, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648666793.111083, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648666793.111571, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648666793}
1648666793.292911, sdrt-health/mac:02010b41cdec/antenna/version, 
1648666793.811883, sdrt-health/mac:02010b41cdec/antenna/power, 
1648666798.289011, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648666804.581175, sdrt-health/mac:02010b41cdec/antenna/tag/scan, scan stopped
