1648663512.771459, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 280}
1648663513.378237, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648663518.399662, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648663518.828886, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663518.878214, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663518.926013, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663518.990248, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663518.990663, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663519.004142, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663519.004437, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663519.026372, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663519.075721, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.103902, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.104262, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663519.126322, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.176159, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663519.226009, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663519.226416, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.22673, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663519.240255, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663519.406938, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663519.457117, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663519.486039, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663519.48633, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663519.500676, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663519.500925, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663519.668343, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.715607, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.780357, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.780901, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663519.794861, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663519.81579, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663519.879846, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663519.880249, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663519.893856, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663519.930025, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663519.930353, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663519.965649, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663520.030273, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663520.030767, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663520.043906, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663520.064881, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663520.116002, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663520.145816, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663520.146166, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663520.146487, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663520.165542, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663520.215907, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663520.246193, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663520.246498, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663520.266287, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663520.29464, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663520.295056, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648663520.325791, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663520.386282, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663520.415079, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663520.415355, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663520.415535, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
