1648651778.525057, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 240}
1648651779.073813, sdrt-health/mac:02010b41cdec/antenna/power, no response
1648651784.129084, sdrt-health/mac:02010b41cdec/antenna/tag/scan, {"time": 60000}
1648651784.554061, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.589302, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651784.626326, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.658924, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.70787, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.708099, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.708296, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651784.729332, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.778239, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.829969, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.856794, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.857007, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.857162, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.869755, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651784.909282, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651784.957648, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651784.95784, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651784.971102, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651784.987027, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.038352, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.038611, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.067551, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.095219, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.09547, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 96
1648651785.108666, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.108954, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.139972, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.180034, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.227123, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.227432, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.227658, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.2488, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.288169, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
1648651785.329127, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 90
