1648656208.031961, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 250}
1648656216.146801, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.175002, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.175294, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.194158, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.253942, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.254415, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656216.278547, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.31356, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656216.313741, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.32941, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.329577, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.374124, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.426684, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656216.452966, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.453258, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.473227, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.53785, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.538201, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656216.55169, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.574722, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.600347, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.60055, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656216.625537, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656216.688747, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.688927, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656216.701474, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.702475, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.724666, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.797289, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656216.797771, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.810553, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656216.833595, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.859767, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.859968, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.860084, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656216.873263, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656216.913905, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
